Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
193000,2.0709746,18.869565217391305,-2.4911857,-4.179120573732588,-4.179120573732588,1.0
194000,2.0676494,24.10810810810811,-2.412075,-3.9409604161977767,-3.9409604161977767,1.0
195000,2.063068,19.34090909090909,-2.5470657,-4.236418186293708,-4.236418186293708,1.0
196000,2.054594,20.789473684210527,-2.4657924,-3.8534773773438222,-3.8534773773438222,1.0
197000,2.062337,25.69047619047619,-2.2141469,-3.245776205528073,-3.245776205528073,1.0
198000,2.0558,21.026315789473685,-2.4828334,-4.184919473372008,-4.184919473372008,1.0
199000,2.063906,18.49019607843137,-2.5842214,-3.711050087330388,-3.711050087330388,1.0
200000,2.0612094,21.951219512195124,-2.5723777,-3.736669259411948,-3.736669259411948,1.0
201000,2.0654466,20.466666666666665,-2.5366871,-4.035037843953996,-4.035037843953996,1.0
202000,2.0567136,20.477272727272727,-2.543101,-3.82684081250971,-3.82684081250971,1.0
203000,2.0553422,20.162790697674417,-2.6384542,-4.247959342869845,-4.247959342869845,1.0
204000,2.0549643,43.76190476190476,-2.627017,-3.961827129464258,-3.961827129464258,1.0
205000,2.0634985,18.3125,-2.6724436,-4.214558986326058,-4.214558986326058,1.0
206000,2.046886,20.391304347826086,-2.6157897,-3.93541558121526,-3.93541558121526,1.0
207000,2.039898,18.543478260869566,-2.6873155,-4.046932232876618,-4.046932232876618,1.0
208000,2.0461814,22.56756756756757,-2.4194803,-3.5749115302012515,-3.5749115302012515,1.0
209000,2.043853,23.414634146341463,-2.4818578,-4.218770858569023,-4.218770858569023,1.0
210000,2.0325842,28.16,-2.5955744,-4.012813881832234,-4.012813881832234,1.0
211000,2.0466545,20.767441860465116,-2.5852866,-4.225848000982533,-4.225848000982533,1.0
212000,2.0401316,23.11627906976744,-2.5032246,-3.868470773810432,-3.868470773810432,1.0
213000,2.0328844,25.444444444444443,-2.5154197,-4.154460688954906,-4.154460688954906,1.0
214000,2.044075,18.98076923076923,-2.7107098,-4.06063124598289,-4.06063124598289,1.0
215000,2.0441482,19.47826086956522,-2.5804014,-3.8626158845667935,-3.8626158845667935,1.0
216000,2.0262394,20.333333333333332,-2.6503212,-4.1337709997011265,-4.1337709997011265,1.0
217000,2.034607,22.666666666666668,-2.493642,-3.2727713127468907,-3.2727713127468907,1.0
218000,2.0493653,23.85,-2.490987,-3.7796401411294935,-3.7796401411294935,1.0
219000,2.0490384,19.74074074074074,-2.6601684,-3.9948060846328737,-3.9948060846328737,1.0
220000,2.0343595,18.84090909090909,-2.7263224,-3.95757418992568,-3.95757418992568,1.0
221000,2.0378797,22.048780487804876,-2.516416,-3.572652987071446,-3.572652987071446,1.0
222000,2.0422807,19.666666666666668,-2.640507,-4.242064224637073,-4.242064224637073,1.0
223000,2.039344,22.108695652173914,-2.6052246,-3.705191061851826,-3.705191061851826,1.0
224000,2.0432253,21.7,-2.5371087,-4.099400005689481,-4.099400005689481,1.0
225000,2.0415204,21.295454545454547,-2.565525,-3.7226595112255643,-3.7226595112255643,1.0
226000,2.0513194,23.976190476190474,-2.5866828,-3.6105822269306627,-3.6105822269306627,1.0
227000,2.0479255,24.025,-2.6175017,-4.262922016282876,-4.262922016282876,1.0
228000,2.0463328,23.11111111111111,-2.5475008,-3.3573849505566535,-3.3573849505566535,1.0
229000,2.0567338,21.906976744186046,-2.476263,-3.8614848782849864,-3.8614848782849864,1.0
